StationID,StationName,County,TWD67_X,TWD67_Y,Original_WGS84_Lat,Original_WGS84_Lon,Converted_WGS84_Lat,Converted_WGS84_Lon,Conversion_Distance_meters,Conversion_Distance_km
C2M990,大巃頂,嘉義縣,120.606275,23.556466,23.5547,120.61439,23.556466,120.606275,851.2993891638326,0.8512993891638326
C2N170,茅港尾,臺南市,120.254311,23.207857,23.2061,120.2624,23.207857,120.254311,850.5904917315933,0.8505904917315933
C2R980,竹田國中,屏東縣,120.516069,22.617101,22.61532,120.52412,22.617101,120.516069,850.896566572201,0.850896566572201
C2R990,泰武,屏東縣,120.689598,22.608649,22.60686,120.69765,22.608649,120.689598,851.2514898105854,0.8512514898105854
C2TA60,六十石,花蓮縣,121.310513,23.226575,23.22477,121.31861,23.226575,121.310513,852.5063429056343,0.8525063429056342
C2TA70,赤科坪,花蓮縣,121.383571,23.400655,23.39885,121.39168,23.400655,121.383571,852.6516434094146,0.8526516434094147
C2UC10,出水溪,宜蘭縣,121.644058,24.617617,24.615822,121.652253,24.617617,121.644058,853.320885936667,0.853320885936667
C2UC20,長嶺,宜蘭縣,121.603419,24.710732,24.70894,121.61162,24.710732,121.603419,853.2358388862143,0.8532358388862143
C2E980,和興,苗栗縣,120.914833,24.507081,24.505319,120.923016,24.507081,120.914833,852.000534658468,0.852000534658468
C2E990,新坪頂,苗栗縣,120.849231,24.303773,24.30201,120.8574,24.303773,120.849231,851.9348622658141,0.851934862265814
C2H9Y0,松茗,南投縣,120.642632,23.818463,23.8167,120.650765,23.818463,120.642632,851.402802237011,0.8514028022370109
C2RA10,大新,屏東縣,120.569824,22.677362,22.67558,120.57788,22.677362,120.569824,851.071195476467,0.851071195476467
C2TA90,加納納,花蓮縣,121.351754,23.468223,23.466421,121.359867,23.468223,121.351754,852.562035561969,0.852562035561969
C2TB30,吉安,花蓮縣,121.539883,23.947182,23.94538,121.54803,23.947182,121.539883,852.993703365275,0.852993703365275
C2K290,崙內,雲林縣,120.347887,23.697001,23.69525,120.35601,23.697001,120.347887,850.8542189766687,0.8508542189766687
C2K300,鹿南,雲林縣,120.355481,23.640303,23.63855,120.3636,23.640303,120.355481,850.8550021611989,0.8508550021611988
C2K250,崙背,雲林縣,120.310803,23.757278,23.75553,120.31893,23.757278,120.310803,850.8051189504904,0.8508051189504904
C2K280,四湖,雲林縣,120.219053,23.632147,23.6304,120.22717,23.632147,120.219053,850.5547947414178,0.8505547947414178
C2X060,下營,臺南市,120.248201,23.228563,23.226806,120.256291,23.228563,120.248201,850.5660029579308,0.8505660029579307
C2S9B0,利吉,臺東縣,121.146788,22.864264,22.86246,121.15486,22.864264,121.146788,852.1418505957641,0.8521418505957642
C2S9A0,北份子寮,臺東縣,121.070064,22.787412,22.78561,121.07813,22.787412,121.070064,851.9427148507323,0.8519427148507323
C2SD50,順那,臺東縣,121.285235,23.043467,23.04166,121.29332,23.043467,121.285235,852.4561477032906,0.8524561477032906
C2SD70,二層坪,臺東縣,121.160303,22.942853,22.94105,121.16838,22.942853,121.160303,852.1510255149976,0.8521510255149977
C2SD60,明峰,臺東縣,121.110178,22.868903,22.8671,121.11825,22.868903,121.110178,852.0885786200586,0.8520885786200586
C2SD80,再來山,臺東縣,121.433115,23.345518,23.34371,121.44122,23.345518,121.433115,852.6649284987272,0.8526649284987272
C2TB80,庄子底,花蓮縣,121.486249,23.719744,23.71794,121.49438,23.719744,121.486249,852.8650580944344,0.8528650580944344
C2TB90,長橋,花蓮縣,121.453731,23.689203,23.6874,121.46186,23.689203,121.453731,852.828218994786,0.852828218994786
C2TB50,麻汝,花蓮縣,121.38547,23.427345,23.42554,121.39358,23.427345,121.38547,852.5895527716946,0.8525895527716946
C2TB70,達谷寮,花蓮縣,121.351573,23.381804,23.38,121.35968,23.381804,121.351573,852.5408325710304,0.8525408325710304
C2TB60,南安,花蓮縣,121.253469,23.299981,23.29818,121.26157,23.299981,121.253469,852.3596862801328,0.8523596862801328
C2H9X0,福盛,南投縣,120.83263,23.8953,23.89353,120.84077,23.8953,120.83263,851.7996724746821,0.8517996724746821
C2G9C0,埔南,彰化縣,120.461546,23.992991,23.99124,120.46969,23.992991,120.461546,851.1072130850769,0.8511072130850769
C2G9E0,移民庄,彰化縣,120.394687,23.980148,23.9784,120.40283,23.980148,120.394687,851.0124145468956,0.8510124145468956
C2K310,港尾布雞,雲林縣,120.376263,23.750092,23.74834,120.38439,23.750092,120.376263,850.9502809057742,0.8509502809057742
C2M9A0,大華,嘉義縣,120.6668,23.484171,23.4824,120.67491,23.484171,120.6668,851.3697240114573,0.8513697240114573
C2M9D0,何竹子腳,嘉義縣,120.373918,23.538166,23.53641,120.38203,23.538166,120.373918,850.8588947259674,0.8508588947259674
C2M9C0,紫雲,嘉義縣,120.532142,23.496678,23.494914,120.540253,23.496678,120.532142,851.2148605598323,0.8512148605598323
C2M9E0,旺來山,嘉義縣,120.478349,23.556913,23.555153,120.486463,23.556913,120.478349,851.0448346190699,0.8510448346190699
C2M9B0,西興,嘉義縣,120.568077,23.244571,23.2428,120.57617,23.244571,120.568077,851.124823887778,0.851124823887778
C2N190,烏樹,臺南市,120.361793,23.32569,23.32393,120.36989,23.32569,120.361793,850.7553050943428,0.8507553050943428
C2N180,鹿陶洋,臺南市,120.475434,23.145019,23.14325,120.48352,23.145019,120.475434,850.9724487579616,0.8509724487579616
C2V920,匏子寮,高雄市,120.54511,23.050824,23.04905,120.55319,23.050824,120.54511,851.0631988537717,0.8510631988537717
C2V580,瑞山,高雄市,120.42617,22.904811,22.90304,120.43424,22.904811,120.42617,850.8535858577955,0.8508535858577955
C2R9A0,高士國小,屏東縣,120.838508,22.127335,22.12553,120.84653,22.127335,120.838508,851.4248945660663,0.8514248945660663
C2M530,奮起湖,嘉義縣,120.691142,23.495674,23.493903,120.699253,23.495674,120.691142,851.3992485584344,0.8513992485584343
C2M810,里佳,嘉義縣,120.708543,23.390899,23.389125,120.716647,23.390899,120.708543,851.4148528814013,0.8514148528814013
C2C590,觀音,桃園市,121.145094,25.028835,25.027072,121.153317,25.028835,121.145094,852.5927874469078,0.8525927874469078
C2E420,竹南,苗栗縣,120.880772,24.710737,24.70898,120.88897,24.710737,120.880772,852.0465738003423,0.8520465738003423
C2E430,南庄,苗栗縣,120.992023,24.603539,24.601775,121.000214,24.603539,120.992023,852.2232623382569,0.8522232623382568
C2W230,畜試所澎湖,澎湖縣,119.505094,23.630055,23.628342,119.513206,23.630055,119.505094,849.2214938161035,0.8492214938161035
C2E880,三義,苗栗縣,120.741644,24.407236,24.405478,120.749819,24.407236,120.741644,851.7451926808877,0.8517451926808878
