StationID,StationName,County,Township,TWD67_X,TWD67_Y,WGS84_Lon,WGS84_Lat
C2H9F0,柑林,南投縣,國姓鄉,120.838924,24.020426,120.847072,24.018658
C2H9G0,百勝,南投縣,國姓鄉,120.90121,24.052912,120.909361,24.051142
C2M930,石卓,嘉義縣,竹崎鄉,120.694154,23.480516,120.702264,23.478744
C2M940,日野賀,嘉義縣,阿里山鄉,120.719062,23.435829,120.727169,23.434056
C2M950,太和,嘉義縣,梅山鄉,120.694847,23.540143,120.702961,23.538372
C2K630,荷苞,雲林縣,古坑鄉,120.587023,23.65948,120.595144,23.657717
C2H9H0,苗改南投蜂場,南投縣,名間鄉,120.685345,23.854353,120.693481,23.852589
C2G9A0,畜試所彰化,彰化縣,北斗鎮,120.549828,23.862208,120.557964,23.86045
C2E970,八甲,苗栗縣,苗栗市,120.787798,24.537566,120.795983,24.535811
C2H9J0,中台,南投縣,埔里鎮,120.930591,24.001373,120.938739,23.9996
C2H9L0,馬烈霸,南投縣,仁愛鄉,121.193613,24.152982,121.201772,24.1512
C2H9M0,發祥,南投縣,仁愛鄉,121.156357,24.155875,121.164517,24.154094
C2H9N0,仁愛東眼,南投縣,仁愛鄉,121.112349,24.028656,121.1205,24.026875
C2H9P0,伊拿谷,南投縣,仁愛鄉,121.080118,23.964991,121.088264,23.963211
C2H9Q0,北東眼山,南投縣,仁愛鄉,121.181145,24.122721,121.189303,24.120939
C2H9R0,卓社,南投縣,仁愛鄉,120.991946,23.889672,121.000086,23.887894
C2H9S0,龍南,南投縣,國姓鄉,120.825039,23.955305,120.833183,23.953536
C2R970,屏科大,屏東縣,內埔鄉,120.611193,22.65006,120.619247,22.648275
C2H9T0,名間竹圍,南投縣,名間鄉,120.629436,23.861675,120.637572,23.859914
C2H9U0,鳳鵬,南投縣,鹿谷鄉,120.779931,23.76569,120.788061,23.763919
CAF010,國一N174K,臺中市,西屯區,120.647035,24.206657,120.6552,24.2049
CAG010,國一N198K,彰化縣,彰化市,120.514899,24.065639,120.523056,24.063889
CAJ020,國一N234K,雲林縣,西螺鎮,120.459788,23.748078,120.467926,23.74633
CAL010,國一N250K,嘉義縣,大林鎮,120.428737,23.612038,120.436867,23.610292
CAD010,國一S105K,新竹縣,寶山鄉,120.932448,24.728088,120.940643,24.726316
CAE020,國一S114K,苗栗縣,頭份市,120.877616,24.670593,120.885811,24.668836
CAE030,國一S123K,苗栗縣,頭屋鄉,120.852523,24.597708,120.86071,24.59594
CAE040,國一S132K,苗栗縣,公館鄉,120.812648,24.526272,120.820831,24.524506
CAE050,國一S152K,苗栗縣,三義鄉,120.74101,24.377254,120.749184,24.375492
CAF020,國一S162K,臺中市,后里區,120.687806,24.297293,120.695976,24.295534
CAF030,國一S169K,臺中市,神岡區,120.680105,24.238875,120.688271,24.237116
CAF040,國一S188K,臺中市,大肚區,120.577587,24.120299,120.585747,24.118546
CAG030,國一S207K,彰化縣,大村鄉,120.499939,23.990053,120.508092,23.988304
CAE060,國三N119K,苗栗縣,竹南鎮,120.839196,24.677199,120.847389,24.675432
CAE070,國三N151K,苗栗縣,苑裡鎮,120.673477,24.441976,120.681656,24.440218
CAG040,國三N191K,彰化縣,和美鎮,120.513338,24.141006,120.5215,24.139256
CAG050,國三N196K,彰化縣,彰化市,120.546322,24.108907,120.554482,24.107155
CAF050,國三N208K,臺中市,霧峰區,120.652763,24.067905,120.660919,24.066147
CAE560,國一S144K,苗栗縣,銅鑼鄉,120.770016,24.438818,120.778219,24.437042
CAF950,國一N158K,臺中市,后里區,120.708967,24.334121,120.717144,24.332372
CAF960,國三S175K,臺中市,沙鹿區,120.58152,24.253246,120.589683,24.251494
CAF980,國三N183K,臺中市,龍井區,120.562148,24.19538,120.570311,24.193628
CAH010,國三N223K,南投縣,草屯鎮,120.654227,23.956874,120.662376,23.955116
CAJ010,國三N252K,雲林縣,林內鄉,120.632472,23.775877,120.64061,23.77412
CAE080,國三S140K,苗栗縣,通霄鎮,120.716822,24.524106,120.725006,24.522345
CAE090,國三S156K,苗栗縣,苑裡鎮,120.66131,24.399738,120.669487,24.39798
CAF060,國三S168K,臺中市,清水區,120.606299,24.310274,120.614471,24.308519
CAG060,國三S202K,彰化縣,彰化市,120.595098,24.094222,120.603256,24.092468
CAH020,國三S217K,南投縣,草屯鎮,120.645062,24.008587,120.653214,24.00683
CAF090,國四E5K,臺中市,神岡區,120.634964,24.298221,120.643135,24.296465
CAA090,國三甲005K,臺北市,文山區,121.589277,25.003726,121.5975,25.00194
CAC020,國二E009K,桃園市,桃園區,121.265475,25.020014,121.273697,25.018244
CAB050,國三N002K,基隆市,中山區,121.713466,25.147619,121.7217,25.14583
CAB030,國三S004K,基隆市,七堵區,121.680369,25.116228,121.6886,25.11444
CAB040,國三S007K,基隆市,七堵區,121.65957,25.098727,121.6678,25.09694
CAA030,國三S010K,新北市,汐止區,121.639272,25.081787,121.6475,25.08
CAA040,國三S016K,臺北市,南港區,121.607575,25.034846,121.6158,25.03306
CAA050,國三S037K,新北市,土城區,121.462821,24.984141,121.471042,24.982361
CAA060,國三S042K,新北市,土城區,121.422381,24.961778,121.4306,24.96
CAA070,國三N046K,新北市,樹林區,121.387582,24.952607,121.3958,24.95083
CAA990,國一N039K,新北市,泰山區,121.373771,25.066207,121.381972,25.064433
CAC760,國一高架N063K,桃園市,平鎮區,121.188097,24.952048,121.196314,24.950281
CAD710,國三N077K,新竹縣,關西鎮,121.181827,24.799064,121.190033,24.797294
CAC770,國三N072K,桃園市,龍潭區,121.191163,24.838161,121.199371,24.836391
CAAD60,國五S005K,新北市,石碇區,121.643708,24.998202,121.651931,24.996414
CAAD70,國五S006K,新北市,石碇區,121.64875,24.991753,121.656972,24.989964
CAAD80,國五N008K,新北市,石碇區,121.659868,24.985201,121.668089,24.982411
CAAD90,國五N013K,新北市,坪林區,121.697289,24.949395,121.705508,24.947603
CAUB30,國五S031K,宜蘭縣,礁溪鄉,121.774168,24.820942,121.782378,24.819144
CAUB40,國五S041K,宜蘭縣,壯圍鄉,121.773719,24.736563,121.781922,24.734764
CAUB50,國五S047K,宜蘭縣,羅東鎮,121.786384,24.677257,121.794583,24.675456
CAA080,國三S054K,新北市,鶯歌區,121.315683,24.940943,121.3239,24.93917
CAC030,國三N063K,桃園市,大溪區,121.255387,24.891285,121.2636,24.889514
